SNR,Recommendation
-13,None
-12,None
-11,None
-10,None
-9,None
-8,None
-7,None
-6,None
-5,"(5, 3, 0)"
-4,"(5, 4, 1)"
-3,"(5, 3, 1)"
-2,"(5, 4, 2)"
-1,"(5, 3, 2)"
0,"(5, 4, 3)"
1,"(5, 3, 3)"
2,"(5, 4, 4)"
3,"(5, 3, 4)"
4,"(5, 3, 4)"
5,"(5, 3, 6)"
6,"(5, 3, 7)"
7,"(5, 3, 8)"
8,"(5, 3, 9)"
9,"(5, 3, 10)"
10,"(5, 3, 11)"
11,"(5, 3, 12)"
12,"(5, 3, 13)"
13,"(5, 3, 14)"
14,"(5, 3, 15)"
15,"(5, 3, 16)"
16,"(5, 3, 16)"
17,"(5, 3, 17)"
18,"(5, 3, 18)"
19,"(5, 3, 18)"
20,"(5, 3, 19)"
21,"(5, 3, 19)"
22,"(5, 3, 19)"
23,"(5, 3, 20)"
24,"(5, 3, 21)"
25,"(5, 3, 21)"
26,"(5, 3, 21)"
27,"(5, 3, 21)"
28,"(5, 3, 21)"
29,"(5, 3, 21)"
30,"(5, 3, 21)"
31,"(5, 3, 21)"
32,"(5, 3, 21)"
33,"(5, 3, 21)"
34,"(5, 3, 21)"
35,"(5, 3, 21)"
36,"(5, 3, 21)"
37,"(5, 3, 22)"
38,"(5, 3, 22)"
39,"(5, 3, 22)"
40,"(5, 3, 22)"
41,"(5, 3, 22)"
42,"(5, 3, 22)"
43,"(5, 3, 22)"
44,"(5, 3, 22)"
45,"(5, 3, 22)"
46,"(5, 3, 21)"
47,"(5, 3, 21)"
48,"(5, 3, 21)"
49,"(5, 3, 21)"
50,"(5, 3, 21)"
