SNR,Recommendation
-13,None
-12,None
-11,None
-10,None
-9,None
-8,None
-7,None
-6,None
-5,None
-4,None
-3,"(5, 2, 0)"
-2,"(5, 4, 1)"
-1,"(5, 2, 1)"
0,"(5, 2, 1)"
1,"(5, 2, 2)"
2,"(5, 4, 3)"
3,"(5, 2, 3)"
4,"(5, 4, 4)"
5,"(5, 2, 4)"
6,"(5, 2, 4)"
7,"(5, 3, 5)"
8,"(5, 3, 6)"
9,"(5, 2, 7)"
10,"(5, 2, 8)"
11,"(5, 2, 9)"
12,"(5, 2, 10)"
13,"(5, 2, 11)"
14,"(5, 3, 13)"
15,"(5, 2, 13)"
16,"(5, 3, 15)"
17,"(5, 3, 16)"
18,"(5, 3, 16)"
19,"(5, 3, 17)"
20,"(5, 3, 18)"
21,"(5, 3, 19)"
22,"(5, 3, 20)"
23,"(5, 3, 21)"
24,"(5, 3, 22)"
25,"(5, 3, 23)"
26,"(5, 3, 23)"
27,"(5, 3, 24)"
28,"(5, 3, 24)"
29,"(5, 3, 25)"
30,"(5, 3, 25)"
31,"(5, 3, 25)"
32,"(5, 3, 25)"
33,"(5, 3, 25)"
34,"(5, 3, 25)"
35,"(5, 3, 25)"
36,"(5, 3, 25)"
37,"(5, 3, 25)"
38,"(5, 3, 25)"
39,"(5, 3, 25)"
40,"(5, 3, 25)"
41,"(5, 3, 25)"
42,"(5, 3, 26)"
43,"(5, 3, 26)"
44,"(5, 3, 26)"
45,"(5, 3, 26)"
