SNR,Recommendation
-13,None
-12,None
-11,None
-10,None
-9,None
-8,None
-7,None
-6,None
-5,None
-4,"(5, 3, 0)"
-3,"(5, 2, 0)"
-2,"(5, 3, 1)"
-1,"(5, 2, 1)"
0,"(5, 4, 2)"
1,"(5, 3, 2)"
2,"(5, 3, 3)"
3,"(5, 3, 3)"
4,"(5, 4, 4)"
5,"(5, 3, 4)"
6,"(5, 4, 5)"
7,"(5, 3, 6)"
8,"(5, 3, 7)"
9,"(5, 3, 8)"
10,"(5, 3, 9)"
11,"(5, 2, 10)"
12,"(5, 3, 11)"
13,"(5, 3, 12)"
14,"(5, 3, 13)"
15,"(5, 3, 14)"
16,"(5, 3, 15)"
17,"(5, 3, 16)"
18,"(5, 3, 16)"
19,"(5, 3, 17)"
20,"(5, 3, 18)"
21,"(5, 3, 18)"
22,"(5, 3, 19)"
23,"(5, 3, 19)"
24,"(5, 3, 20)"
25,"(5, 3, 21)"
26,"(5, 3, 21)"
27,"(5, 3, 21)"
28,"(5, 3, 21)"
29,"(5, 3, 21)"
30,"(5, 3, 21)"
31,"(5, 3, 22)"
32,"(5, 3, 22)"
33,"(5, 3, 22)"
34,"(5, 3, 22)"
35,"(5, 3, 22)"
36,"(5, 3, 22)"
37,"(5, 3, 22)"
38,"(5, 3, 22)"
39,"(5, 3, 22)"
40,"(5, 3, 22)"
41,"(5, 3, 22)"
42,"(5, 3, 22)"
43,"(5, 3, 22)"
44,"(5, 3, 22)"
45,"(5, 3, 22)"
46,"(5, 3, 23)"
47,"(5, 3, 24)"
48,"(5, 3, 24)"
49,"(5, 3, 24)"
50,"(5, 3, 24)"
